farm_id,house_id,sex,breed,init_age_days,init_weight_kg,avg_temp_c,humidity_pct,nh3_ppm,co2_ppm,stocking_density,feed_intake_kg,feed_grade,vaccinated,antibiotic_days,adg_kg_day,fcr,market_age_days,mortality
31,6,암,삼원교잡(LYD),74.9,28.7,21.7,61.1,13.4,1491.0,1.12,2.26,저가,1,1,0.772,2.92,187,0
29,7,거세,이원교잡(LY),66.0,25.0,27.5,60.3,13.0,1201.0,1.8,2.5,고급,1,2,0.898,2.78,166,0
15,1,암,삼원교잡(LYD),67.3,31.7,18.6,58.9,23.9,1256.0,0.7,2.27,저가,0,0,0.687,3.31,189,0
3,4,거세,이원교잡(LY),65.1,27.2,18.2,67.8,25.3,2040.0,1.44,2.17,표준,1,2,0.811,2.68,173,0
39,1,거세,삼원교잡(LYD),66.7,22.3,22.9,87.3,9.4,1874.0,1.38,2.25,표준,1,2,0.818,2.75,180,0
18,4,거세,삼원교잡(LYD),63.0,25.2,24.9,78.3,8.6,756.0,1.39,2.55,저가,0,2,0.867,2.94,167,0
36,2,거세,이원교잡(LY),69.3,24.5,19.2,84.4,13.2,876.0,1.0,1.95,표준,1,4,0.864,2.26,174,0
28,3,거세,삼원교잡(LYD),73.2,24.2,24.7,59.3,17.6,903.0,0.88,2.52,표준,1,4,0.904,2.79,174,0
32,4,암,삼원교잡(LYD),66.1,20.0,27.5,81.7,11.9,2030.0,1.45,2.0,고급,1,2,0.762,2.62,191,0
31,3,암,삼원교잡(LYD),69.5,26.2,26.8,67.3,17.7,634.0,1.64,2.48,표준,1,0,0.775,3.2,184,0
8,4,암,삼원교잡(LYD),68.9,20.8,23.4,74.9,26.7,1893.0,1.36,1.84,표준,1,4,0.608,3.02,224,0
15,7,암,이원교잡(LY),75.3,18.0,21.6,69.6,6.6,1699.0,1.5,2.46,고급,1,3,0.91,2.71,182,0
19,7,거세,삼원교잡(LYD),66.9,24.0,28.9,61.6,12.3,1573.0,1.19,2.27,표준,1,3,0.77,2.95,185,0
20,1,암,이원교잡(LY),67.1,22.7,22.1,72.2,6.7,1264.0,1.38,2.33,고급,1,1,0.928,2.51,167,0
2,4,암,삼원교잡(LYD),65.8,22.4,25.8,69.8,10.0,2094.0,1.61,2.59,표준,1,2,0.809,3.2,180,0
22,7,거세,삼원교잡(LYD),64.3,18.0,29.8,47.3,13.2,1557.0,1.22,2.05,표준,1,4,0.667,3.08,210,0
7,5,암,삼원교잡(LYD),72.6,22.4,25.3,63.8,10.6,778.0,1.6,2.29,저가,1,1,0.617,3.72,223,0
30,2,거세,삼원교잡(LYD),69.3,24.5,18.0,73.7,18.1,894.0,0.89,2.39,고급,1,2,1.031,2.32,157,0
28,5,암,이원교잡(LY),70.3,23.1,17.0,67.8,15.9,678.0,1.15,2.21,고급,1,3,0.923,2.4,170,0
37,2,암,삼원교잡(LYD),76.4,26.2,20.8,69.7,16.8,2100.0,1.44,2.52,고급,1,3,0.892,2.82,176,0
30,1,암,삼원교잡(LYD),76.7,29.2,24.8,57.5,13.2,2212.0,1.78,2.4,저가,0,0,0.667,3.6,205,0
15,6,거세,삼원교잡(LYD),61.8,26.5,23.8,67.6,13.7,2043.0,1.3,2.13,표준,0,2,0.873,2.44,163,0
39,5,암,삼원교잡(LYD),73.2,28.1,30.8,64.0,12.9,1428.0,1.04,2.68,고급,1,4,0.761,3.52,187,0
17,7,거세,이원교잡(LY),71.1,28.3,23.7,63.0,13.5,787.0,1.77,2.47,고급,1,2,0.989,2.5,159,0
14,3,암,삼원교잡(LYD),67.7,21.9,20.7,58.2,17.5,973.0,1.27,2.05,고급,1,3,0.854,2.4,177,0
37,7,거세,삼원교잡(LYD),71.6,26.3,17.5,74.1,3.5,1006.0,1.47,2.04,표준,1,3,0.84,2.43,177,0
15,4,암,삼원교잡(LYD),61.4,28.0,26.7,68.5,16.7,1477.0,1.22,2.23,표준,0,5,0.774,2.89,174,0
4,6,암,삼원교잡(LYD),77.3,23.7,22.0,67.4,9.8,2194.0,1.34,2.43,표준,1,0,0.862,2.82,183,0
19,1,거세,이원교잡(LY),72.6,22.6,16.0,85.5,13.0,2192.0,1.16,1.64,고급,1,3,0.827,1.98,184,0
32,1,거세,삼원교잡(LYD),65.7,26.6,22.1,69.7,5.6,1256.0,1.86,2.06,표준,1,2,0.845,2.44,170,0
8,7,암,삼원교잡(LYD),67.1,20.6,18.0,77.0,12.8,500.0,1.6,2.13,표준,1,2,0.723,2.94,198,0
19,7,거세,삼원교잡(LYD),61.5,21.7,20.3,67.7,16.7,917.0,1.74,1.87,고급,1,2,0.908,2.06,164,0
6,8,거세,삼원교잡(LYD),68.4,23.0,22.0,61.5,17.7,2094.0,1.1,1.99,고급,1,3,0.863,2.31,175,0
28,3,거세,이원교잡(LY),67.6,26.4,18.4,54.4,7.9,1616.0,0.84,2.34,고급,0,1,0.961,2.44,160,0
20,1,거세,삼원교잡(LYD),63.4,25.7,20.0,67.4,17.5,1322.0,1.23,2.15,표준,1,0,0.882,2.44,165,0
14,8,암,삼원교잡(LYD),73.9,28.1,19.0,38.4,21.8,1287.0,1.93,2.18,표준,1,0,0.786,2.77,184,0
10,5,암,삼원교잡(LYD),76.4,22.2,19.1,67.7,12.0,1125.0,1.22,1.89,표준,1,1,0.695,2.71,210,0
23,2,거세,이원교잡(LY),69.9,22.1,18.0,68.2,15.0,898.0,1.56,2.24,표준,0,1,0.886,2.52,175,1
27,7,거세,이원교잡(LY),68.5,26.6,20.1,62.8,2.6,2536.0,1.04,1.85,고급,1,1,0.911,2.03,166,0
38,8,거세,삼원교잡(LYD),72.2,22.6,18.4,64.1,9.6,2359.0,1.09,2.74,저가,1,2,0.953,2.87,169,0
18,3,거세,삼원교잡(LYD),69.9,23.2,24.3,52.5,16.6,1089.0,1.28,2.82,표준,1,1,0.961,2.94,165,0
7,7,암,삼원교잡(LYD),64.6,19.4,22.8,78.9,20.7,623.0,1.83,2.16,고급,1,4,0.804,2.68,183,1
34,7,거세,삼원교잡(LYD),66.7,25.9,26.8,61.6,11.4,1585.0,1.58,1.96,저가,1,3,0.628,3.13,209,0
26,5,암,삼원교잡(LYD),68.5,29.6,29.5,55.3,31.0,1426.0,0.79,2.56,표준,1,0,0.738,3.46,184,0
29,6,암,이원교잡(LY),71.2,21.9,24.7,70.4,16.9,1814.0,1.47,2.48,표준,1,2,0.823,3.01,184,0
4,3,암,이원교잡(LY),70.0,28.1,23.8,66.1,7.4,1927.0,1.01,2.86,표준,1,1,0.962,2.98,160,0
13,8,암,삼원교잡(LYD),71.1,24.8,25.0,61.4,22.7,915.0,1.13,2.94,표준,0,3,0.894,3.29,172,0
31,8,거세,삼원교잡(LYD),62.4,19.7,23.9,60.4,7.5,2140.0,1.43,1.69,고급,1,4,0.808,2.09,180,0
34,8,거세,삼원교잡(LYD),73.3,22.3,22.2,64.9,17.0,1323.0,1.65,2.65,고급,1,2,1.005,2.64,166,0
18,6,거세,삼원교잡(LYD),70.0,22.1,21.9,78.5,9.4,1804.0,1.64,2.23,저가,1,5,0.857,2.61,178,0
33,1,암,삼원교잡(LYD),82.8,24.1,17.9,69.7,6.9,1369.0,1.38,2.46,저가,1,3,0.821,3.0,194,0
34,3,암,삼원교잡(LYD),68.1,26.3,25.4,64.7,20.8,1961.0,1.39,2.53,저가,1,3,0.722,3.51,191,0
16,4,거세,이원교잡(LY),71.6,30.5,21.9,73.5,13.4,500.0,1.64,2.52,고급,1,2,1.028,2.45,154,0
36,8,거세,삼원교잡(LYD),84.1,20.7,27.8,65.3,25.4,1869.0,0.91,2.6,표준,1,2,0.797,3.26,202,0
12,5,거세,이원교잡(LY),71.0,23.5,25.7,69.0,8.9,1084.0,1.76,2.13,표준,1,2,0.841,2.54,180,0
10,5,암,삼원교잡(LYD),69.7,22.3,19.5,66.5,5.6,1537.0,1.12,2.01,고급,1,3,0.855,2.36,178,0
28,2,암,삼원교잡(LYD),65.1,21.2,27.0,70.9,12.1,2122.0,1.37,2.66,고급,1,3,0.932,2.85,166,0
26,7,암,삼원교잡(LYD),77.6,25.3,11.8,60.6,32.3,1098.0,1.18,2.04,저가,1,3,0.665,3.06,212,0
6,3,암,이원교잡(LY),64.2,25.0,29.7,53.6,20.0,1020.0,1.01,2.86,고급,0,3,0.856,3.34,169,0
34,1,거세,삼원교잡(LYD),72.1,19.6,16.6,74.1,18.3,1314.0,1.42,2.07,고급,0,3,0.873,2.37,181,0
8,8,암,삼원교잡(LYD),67.6,25.1,24.0,80.0,18.5,1282.0,1.36,2.19,고급,1,0,0.847,2.58,174,0
33,2,암,삼원교잡(LYD),69.1,21.4,23.7,54.1,12.1,975.0,1.27,2.24,표준,0,3,0.797,2.81,187,0
1,1,거세,삼원교잡(LYD),62.9,25.0,26.5,66.8,31.4,1553.0,1.26,1.84,표준,1,1,0.678,2.71,196,1
32,1,암,삼원교잡(LYD),76.7,28.8,20.7,60.5,17.7,1579.0,1.68,1.84,고급,1,0,0.749,2.45,192,0
32,4,거세,삼원교잡(LYD),68.6,26.4,13.4,73.8,17.2,1731.0,1.85,2.57,표준,1,3,0.938,2.74,163,0
32,1,암,삼원교잡(LYD),63.9,25.5,20.7,67.5,20.9,1090.0,1.61,1.78,고급,0,1,0.723,2.47,188,0
27,7,암,이원교잡(LY),76.3,23.4,21.1,95.0,7.4,1028.0,1.37,3.06,표준,1,1,0.999,3.06,168,0
19,5,암,삼원교잡(LYD),67.5,25.2,13.8,62.0,9.7,1441.0,0.89,2.27,고급,1,4,0.869,2.61,171,0
29,3,암,삼원교잡(LYD),71.7,26.7,22.2,80.4,13.5,1377.0,1.46,1.99,표준,1,1,0.802,2.48,182,0
12,1,거세,삼원교잡(LYD),74.2,26.4,17.7,81.3,20.9,1387.0,1.47,2.43,저가,1,6,0.783,3.1,187,0
32,4,암,삼원교잡(LYD),72.4,24.7,24.6,70.3,7.2,1146.0,1.49,1.56,표준,1,1,0.728,2.14,196,0
23,2,암,이원교잡(LY),60.0,25.7,21.0,65.4,14.6,1665.0,1.01,2.2,고급,1,1,0.94,2.34,155,0
19,8,암,삼원교잡(LYD),73.5,21.1,29.8,65.9,13.7,1029.0,1.51,2.24,저가,1,1,0.58,3.86,235,0
21,3,암,삼원교잡(LYD),69.5,22.8,21.0,65.1,5.6,1439.0,1.69,1.92,표준,1,4,0.799,2.4,185,0
23,4,거세,이원교잡(LY),68.4,27.1,23.7,76.3,11.9,1347.0,1.05,2.11,표준,1,3,0.813,2.6,176,0
2,1,암,삼원교잡(LYD),69.5,27.5,21.1,56.3,18.3,1483.0,1.47,2.76,저가,0,4,0.811,3.4,177,0
6,2,암,삼원교잡(LYD),61.9,25.3,15.5,63.4,6.1,2093.0,1.1,2.35,표준,1,2,0.84,2.8,169,0
10,2,거세,삼원교잡(LYD),71.0,29.4,21.2,62.2,23.5,843.0,1.27,2.42,표준,1,2,0.859,2.82,171,0
5,1,거세,삼원교잡(LYD),63.2,26.5,25.0,47.7,17.8,500.0,1.06,2.06,고급,1,3,0.883,2.34,163,0
18,6,암,삼원교잡(LYD),68.6,24.3,24.4,73.6,17.1,1203.0,1.21,1.9,고급,1,4,0.776,2.45,186,0
27,8,암,삼원교잡(LYD),70.8,21.3,20.8,75.6,15.0,924.0,1.21,2.23,저가,1,4,0.788,2.83,190,0
27,8,암,삼원교잡(LYD),75.4,29.3,16.2,58.7,8.4,500.0,1.4,1.56,표준,1,2,0.664,2.35,204,0
19,3,거세,삼원교잡(LYD),65.9,27.3,24.6,75.3,11.1,2373.0,1.52,1.97,저가,1,5,0.715,2.76,189,0
35,7,암,이원교잡(LY),77.3,30.4,23.7,49.2,17.2,1780.0,1.6,1.92,표준,1,3,0.682,2.82,201,0
23,5,거세,삼원교잡(LYD),74.7,31.5,25.4,65.2,11.1,1834.0,1.14,1.69,저가,0,3,0.703,2.4,194,0
4,1,암,삼원교잡(LYD),67.9,21.1,20.9,63.7,16.1,1357.0,1.39,2.49,표준,1,5,0.853,2.92,178,0
31,1,거세,삼원교잡(LYD),64.5,21.1,15.3,65.9,9.6,1710.0,1.03,2.26,표준,0,1,0.922,2.45,166,0
23,5,암,삼원교잡(LYD),62.8,18.0,24.1,65.8,17.7,1289.0,1.27,2.11,고급,0,3,0.766,2.76,189,0
26,4,암,삼원교잡(LYD),71.4,27.8,22.0,64.2,18.2,1907.0,1.31,2.5,고급,0,2,0.913,2.74,167,0
23,1,암,삼원교잡(LYD),66.3,27.0,27.6,61.1,5.2,1595.0,1.07,1.81,표준,1,4,0.694,2.6,193,0
23,8,암,이원교잡(LY),76.0,25.3,22.1,63.9,15.4,1482.0,1.44,1.9,표준,0,2,0.768,2.47,193,0
4,6,거세,이원교잡(LY),66.6,21.3,21.8,78.6,5.9,1519.0,1.26,2.64,고급,1,2,1.11,2.37,151,0
23,5,암,이원교잡(LY),65.5,24.7,23.7,59.2,3.8,2233.0,1.34,2.98,표준,1,6,1.016,2.94,154,0
32,8,암,삼원교잡(LYD),71.2,25.6,19.6,87.6,11.4,1584.0,1.61,2.51,표준,1,3,0.873,2.87,174,0
13,8,거세,삼원교잡(LYD),66.6,27.3,19.4,58.6,31.8,985.0,1.19,2.44,표준,0,2,0.798,3.06,176,0
25,8,암,삼원교잡(LYD),70.0,25.8,21.6,67.4,19.7,1668.0,1.51,2.13,표준,0,1,0.742,2.86,190,1
2,3,암,삼원교잡(LYD),74.9,27.0,18.3,70.7,23.4,1745.0,1.66,2.13,표준,1,3,0.82,2.6,182,0
14,8,암,삼원교잡(LYD),70.6,24.6,21.1,62.1,18.7,1428.0,1.65,2.37,표준,1,4,0.779,3.04,187,0
18,5,암,삼원교잡(LYD),70.6,28.5,29.8,78.8,16.2,1474.0,1.25,2.71,표준,1,5,0.766,3.54,183,0
40,6,거세,삼원교잡(LYD),71.0,26.9,26.2,70.5,20.4,967.0,1.06,2.43,표준,1,2,0.788,3.08,183,0
9,7,암,삼원교잡(LYD),61.5,21.4,23.2,63.0,11.2,1549.0,1.12,2.59,표준,1,1,0.875,2.96,168,0
12,2,거세,삼원교잡(LYD),72.0,29.2,28.2,78.7,17.8,893.0,0.9,2.03,고급,1,3,0.749,2.7,187,0
17,4,거세,삼원교잡(LYD),70.8,28.7,18.7,54.8,22.1,1375.0,1.47,2.49,표준,1,3,0.835,2.98,174,0
40,2,거세,삼원교잡(LYD),74.5,26.4,32.0,59.3,19.2,1165.0,1.49,2.1,저가,1,1,0.613,3.42,219,0
35,3,거세,삼원교잡(LYD),73.0,25.8,20.2,70.6,22.5,1991.0,1.33,2.34,고급,1,3,0.956,2.45,166,0
2,4,거세,삼원교잡(LYD),69.0,30.0,30.0,73.0,16.1,2275.0,0.96,2.48,고급,1,4,0.883,2.81,165,0
10,7,암,삼원교잡(LYD),75.2,20.1,30.0,68.2,25.2,928.0,1.21,2.14,저가,1,2,0.55,3.89,248,1
33,7,거세,이원교잡(LY),68.5,28.7,15.0,63.7,13.8,1498.0,1.65,1.99,표준,1,2,0.711,2.81,190,0
3,4,거세,삼원교잡(LYD),71.2,23.6,27.9,62.5,27.7,1345.0,1.45,2.41,표준,1,2,0.678,3.55,206,0
35,3,거세,삼원교잡(LYD),68.4,28.3,20.9,76.3,18.4,1732.0,1.5,2.26,표준,1,2,0.812,2.78,175,0
12,5,암,삼원교잡(LYD),72.3,25.4,19.7,67.4,12.7,1548.0,2.13,2.34,저가,1,1,0.712,3.29,198,0
37,8,거세,삼원교잡(LYD),68.1,21.3,24.1,56.3,7.9,1306.0,1.38,2.5,고급,1,0,0.971,2.57,165,0
12,8,거세,이원교잡(LY),78.2,23.5,18.0,55.7,10.2,1547.0,0.76,2.69,표준,1,7,1.019,2.64,168,0
18,2,암,삼원교잡(LYD),80.1,28.1,24.0,80.1,9.2,1393.0,1.02,2.5,저가,1,1,0.819,3.05,186,0
27,2,거세,이원교잡(LY),74.4,24.4,18.2,57.8,14.5,2295.0,1.38,2.46,고급,1,4,1.034,2.38,162,0
6,6,암,이원교잡(LY),77.7,23.1,22.7,67.7,7.4,1103.0,1.3,2.15,저가,1,2,0.867,2.48,184,0
23,3,거세,삼원교잡(LYD),62.3,23.1,27.3,78.5,22.8,1629.0,1.26,2.2,저가,0,3,0.678,3.24,198,1
21,2,거세,삼원교잡(LYD),62.9,26.9,23.5,70.4,15.7,1755.0,1.26,2.44,표준,1,4,0.825,2.95,170,0
32,1,거세,삼원교잡(LYD),68.4,30.3,20.6,57.4,15.4,1719.0,1.1,2.19,표준,0,1,0.834,2.63,170,0
40,4,암,삼원교잡(LYD),70.2,18.6,24.2,54.8,8.0,1351.0,1.39,2.44,표준,1,2,0.843,2.89,185,0
27,4,거세,삼원교잡(LYD),69.0,33.4,16.4,83.7,10.4,2184.0,1.65,2.06,표준,1,6,0.841,2.44,166,0
17,5,암,삼원교잡(LYD),61.8,25.6,18.6,54.6,2.0,500.0,1.73,2.88,고급,1,1,0.984,2.93,153,0
17,2,거세,삼원교잡(LYD),75.8,26.7,20.3,59.5,24.7,953.0,1.73,2.36,고급,1,2,0.837,2.82,181,0
17,6,암,삼원교잡(LYD),80.8,23.7,25.1,68.7,6.5,1832.0,1.06,2.34,고급,1,4,0.908,2.57,181,0
33,6,거세,삼원교잡(LYD),76.4,25.0,23.6,62.8,6.9,1060.0,1.29,2.16,표준,1,3,0.85,2.54,182,0
13,4,거세,삼원교잡(LYD),75.4,25.6,24.1,70.7,23.5,1031.0,1.22,2.87,표준,1,0,0.935,3.07,171,0
7,2,거세,이원교잡(LY),71.1,21.9,21.9,50.3,17.3,1266.0,1.45,1.92,저가,1,3,0.715,2.69,201,0
14,5,암,삼원교잡(LYD),65.8,22.6,18.8,62.9,15.7,1107.0,1.28,2.09,표준,1,0,0.757,2.76,188,0
1,6,거세,삼원교잡(LYD),70.4,28.6,28.0,71.8,17.0,1819.0,1.24,2.56,표준,1,1,0.852,3.0,172,0
5,3,암,이원교잡(LY),80.5,20.3,19.2,71.8,20.7,1952.0,1.66,2.37,표준,1,1,0.702,3.38,215,0
4,3,암,삼원교잡(LYD),68.2,26.3,23.7,59.3,15.6,1544.0,1.32,2.13,표준,1,2,0.769,2.77,184,0
31,5,암,삼원교잡(LYD),67.7,23.9,21.6,54.8,5.7,2027.0,1.33,2.14,표준,1,2,0.864,2.47,173,0
29,3,거세,삼원교잡(LYD),75.5,22.1,24.3,67.1,19.4,807.0,1.4,2.21,고급,1,1,0.895,2.47,179,0
28,4,암,삼원교잡(LYD),75.9,30.9,19.6,51.9,17.5,1538.0,1.47,2.33,고급,1,2,0.958,2.43,164,0
19,3,암,이원교잡(LY),65.8,22.1,26.2,77.8,22.0,2174.0,1.47,2.77,표준,1,3,0.813,3.4,180,0
29,3,암,삼원교잡(LYD),68.7,21.6,27.5,66.6,7.5,1988.0,1.69,2.48,저가,1,1,0.738,3.36,195,0
7,6,암,삼원교잡(LYD),67.5,24.4,26.0,58.0,10.6,2218.0,0.98,2.61,저가,1,2,0.871,2.99,172,0
37,4,암,삼원교잡(LYD),70.3,22.7,22.6,54.5,17.4,1205.0,1.38,2.17,표준,1,2,0.789,2.75,187,0
21,4,암,삼원교잡(LYD),75.5,25.0,20.3,58.7,9.3,1959.0,1.27,2.45,표준,1,2,0.948,2.59,170,0
38,6,암,삼원교잡(LYD),66.0,25.5,33.0,49.4,2.0,1287.0,1.22,1.83,표준,0,2,0.608,3.02,213,0
7,3,거세,삼원교잡(LYD),75.4,25.7,18.0,69.9,16.2,1798.0,1.49,2.35,표준,1,3,0.88,2.68,177,1
20,1,암,삼원교잡(LYD),70.5,24.6,25.5,57.0,20.4,2155.0,1.62,2.34,고급,1,6,0.806,2.9,183,0
28,7,거세,삼원교잡(LYD),81.6,22.9,23.3,69.0,14.2,1103.0,1.15,2.85,고급,1,3,1.057,2.69,169,0
20,1,암,삼원교잡(LYD),71.6,26.9,21.7,70.4,18.3,572.0,1.72,2.77,고급,1,1,0.966,2.87,163,0
18,5,암,이원교잡(LY),69.5,24.7,22.7,74.7,17.4,2424.0,0.94,2.22,저가,1,6,0.734,3.03,193,0
7,3,거세,삼원교잡(LYD),72.9,23.5,20.0,67.5,15.1,1744.0,1.45,2.05,표준,1,4,0.853,2.41,180,0
16,2,거세,삼원교잡(LYD),68.3,29.4,23.7,76.3,15.8,1446.0,1.08,2.06,표준,1,1,0.902,2.29,163,0
10,1,거세,삼원교잡(LYD),61.0,24.6,23.3,78.9,23.1,1419.0,1.14,2.21,저가,1,2,0.711,3.11,188,0
13,8,거세,이원교잡(LY),68.8,28.3,32.7,67.6,9.2,500.0,1.32,2.69,표준,1,2,0.863,3.12,169,0
28,4,거세,삼원교잡(LYD),68.7,28.7,26.3,68.2,19.6,1604.0,1.2,2.42,표준,1,1,0.846,2.86,171,0
26,3,암,이원교잡(LY),62.0,28.9,24.1,59.4,7.9,1235.0,0.7,2.46,표준,1,3,0.937,2.62,154,0
25,6,암,삼원교잡(LYD),69.6,27.1,24.3,55.1,10.2,1526.0,1.45,2.54,고급,1,3,0.9,2.83,167,0
15,1,암,이원교잡(LY),60.0,25.0,29.4,77.8,22.2,1515.0,1.49,2.0,고급,1,2,0.656,3.05,197,0
39,5,거세,이원교잡(LY),68.3,24.8,18.1,71.1,7.7,500.0,1.26,2.09,표준,1,2,0.912,2.29,167,0
4,4,암,삼원교잡(LYD),71.2,24.3,21.3,71.9,13.6,1745.0,1.24,2.46,고급,1,2,0.937,2.62,168,0
14,5,거세,삼원교잡(LYD),70.5,18.5,14.4,59.1,29.2,1594.0,1.21,2.07,표준,1,2,0.784,2.64,194,0
5,1,암,삼원교잡(LYD),67.9,27.2,24.2,81.2,21.2,1662.0,0.87,1.84,저가,1,5,0.622,2.96,209,0
14,8,거세,삼원교잡(LYD),69.6,25.7,25.4,62.7,10.6,1408.0,0.85,1.98,저가,0,1,0.73,2.71,192,0
